104,101,256
32,116,257
32,97,258
32,115,259
32,119,260
257,256,261
110,100,262
101,100,263
32,98,264
257,111,265
258,262,266
32,104,267
32,102,268
32,84,269
260,97,270
105,110,271
114,101,272
105,116,273
111,117,274
32,108,275
32,100,276
32,99,277
32,112,278
32,109,279
111,109,280
101,114,281
97,121,282
270,115,283
269,256,284
32,256,285
111,110,286
259,97,287
32,110,288
105,100,289
97,114,290
105,115,291
105,109,292
97,116,293
32,103,294
108,108,295
32,83,296
267,97,297
271,103,298
101,110,299
111,116,300
108,101,301
97,110,302
111,114,303
105,114,304
101,116,305
257,104,306
32,273,307
105,108,308
284,121,309
97,109,310
32,72,311
105,103,312
32,34,313
111,119,314
32,271,315
118,281,316
287,289,317
117,116,318
114,105,319
111,111,320
112,112,321
311,101,322
278,108,323
285,114,324
32,111,325
101,115,326
32,73,327
32,117,328
273,104,329
107,263,330
276,282,331
260,329,332
79,110,333
296,256,334
32,121,335
323,282,336
32,114,337
259,116,338
108,100,339
110,116,340
269,292,341
99,101,342
264,101,343
101,262,344
99,107,345
316,121,346
267,291,347
264,312,348
32,76,349
297,321,350
32,286,351
32,101,352
107,101,353
308,121,354
335,274,355
117,110,356
260,101,357
268,319,358
358,344,359
118,101,360
328,112,361
270,340,362
273,116,363
279,280,364
275,105,365
297,100,366
261,121,367
325,102,368
276,111,369
350,121,370
259,256,371
288,300,372
97,100,373
299,116,374
256,114,375
97,295,376
268,303,377
32,66,378
274,339,379
32,346,380
32,107,381
363,301,382
39,115,383
275,382,384
287,119,385
115,116,386
32,77,387
306,293,388
115,101,389
333,101,390
259,104,391
292,101,392
46,34,393
288,310,394
257,392,395
259,111,396
349,354,397
288,101,398
274,262,399
264,111,400
269,280,401
259,109,402
394,263,403
99,104,404
264,318,405
362,263,406
101,108,407
357,272,408
84,256,409
97,108,410
261,272,411
33,34,412
264,304,413
327,116,414
413,100,415
265,111,416
280,101,417
260,104,418
118,263,419
274,116,420
108,112,421
359,115,422
260,374,423
285,421,424
258,110,425
104,116,426
289,101,427
275,320,428
333,342,429
32,291,430
111,272,431
103,305,432
117,103,433
105,262,434
105,99,435
258,295,436
361,286,437
97,353,438
101,99,439
275,111,440
277,293,441
294,304,442
32,272,443
442,108,444
432,375,445
117,114,446
116,281,447
265,445,448
97,345,449
114,121,450
258,116,451
32,65,452
258,115,453
268,356,454
117,101,455
105,295,456
117,109,457
320,100,458
277,379,459
259,101,460
277,302,461
108,121,462
