coord_x,coord_y,label
8.50955514364887,-5.694512233237559,2
0.6762879201779632,2.11971166399601,1
-9.362134378952401,3.9194845714713207,2
2.2272041166095558,-0.6274303743821436,1
-0.7871123315361742,-1.8239670203467582,1
1.4275434844334023,-1.411796495668003,1
1.941692192653171,0.47807624073114385,1
1.5797595326873064,1.371184277819617,1
-1.959058377229086,-0.2192088754565274,1
-0.8700526907918799,1.8921698726642346,1
1.5287670966863318,1.0751669664341608,1
2.863955990800453,9.910266866913005,2
0.23077814852784095,1.8223834752404824,1
-1.0077265463172924,-1.7288456554512313,1
-1.9495034323601157,1.0332236329432747,1
-2.0928892760310145,0.3155609214162701,1
8.11548099045792,-6.249688510603273,2
2.395358655781094,0.29442930602767936,1
-1.2698599093279834,1.629751475679232,1
-1.169598624082912,1.7469276911136453,1
6.0988113748654005,8.170003137890923,2
1.3986829548010653,1.7117400853954368,1
-7.867102844497296,5.7196138457381505,2
0.24205288146824377,-1.9436032221400426,1
2.0963099428964935,0.040662804431415914,1
-5.110583996091307,8.38436163156292,2
8.843331261012178,-5.4973033424041535,2
-1.7881063106315902,1.4676242076876638,1
-1.112800840735829,-1.295085298262065,1
1.7822555566127176,0.8072049783258236,1
-0.9804711272115703,9.80892095723053,2
7.140399086601461,6.840616460786392,2
1.483257438568771,1.2012414174104027,1
-9.871564896329362,1.3321812597205147,2
-5.0594296672780725,-8.354924168480638,2
1.5258644288669199,1.3466177711005782,1
1.7858406145706265,-0.5933775598380742,1
-1.7092417805158096,1.1861661708348479,1
-1.8396034928379665,-1.8898953805347007,1
-9.199441566263864,4.94904234264762,2
-9.218346123887336,3.9849342283312326,2
-6.696644876020379,6.992039435722016,2
-5.710543478329909,8.006220569361686,2
-1.1549651917964692,-2.096715500490017,1
-9.534479228917265,2.9505173510965634,2
-0.7454596528060837,-1.5618354840107362,1
-2.192665604111503,0.3412409665150149,1
0.7934289937019913,1.8725502086779047,1
-2.1887712388444145,-1.2108748772777245,1
-1.389724640817073,-1.365358284550985,1
-5.7424775422579195,8.304859030489988,2
-9.327424350751482,-3.6924392607912524,2
-4.419072695686593,9.063492789355989,2
1.9214822183275555,-1.0527304681909755,1
-2.76182970694707,9.813713299680755,2
-7.707449467572311,-6.380776628208973,2
-9.406899234386563,4.0414446074466115,2
-1.54568486729749,-1.102729182847947,1
-1.3627897021679707,-1.7009350326999015,1
0.7675074508950963,1.7857925734759243,1
-0.4365639756163535,1.6947060433884262,1
0.4464726733824981,1.7187315835786718,1
0.7796598064171152,-1.7851179280956404,1
-9.696265297993621,-2.2641154329345876,2
7.627804888488962,5.8914321020898806,2
-8.352133733743411,5.685253960707538,2
1.9529334061522283,0.784841107261253,1
-4.234396958261873,9.679494069407436,2
-5.29213123794246,-8.51428593452247,2
-1.871283474311667,0.941291313885393,1
-1.0978199991991018,1.7002440189466619,1
9.116797500899114,-3.8140800055738366,2
1.946767521827894,-0.3820066522424977,1
5.395802002536293,-8.56627759561368,2
-9.212914468495827,-4.203760377378472,2
-0.542966915791937,1.975206391084742,1
